Date,AAPL,JPM,XOM,PG
2020-05-31,76.95958709716797,83.0602035522461,35.11163330078125,99.62322998046875
2020-06-30,88.30236053466797,80.28612518310547,34.53248977661133,102.7601089477539
2020-07-31,102.8838882446289,83.29212188720703,32.493892669677734,113.39742279052734
2020-08-31,125.16541290283203,86.351806640625,31.449840545654297,119.63286590576172
2020-09-30,112.3326416015625,82.97322082519531,27.032371520996094,120.20368957519531
2020-10-31,105.5913314819336,85.2828598022461,25.685874938964844,119.2275161743164
2020-11-30,115.67459106445312,102.54122924804688,30.748979568481445,120.76673889160156
2020-12-31,128.92782592773438,110.53541564941406,33.24083709716797,121.00155639648438
2021-01-31,128.2185516357422,112.73329162597656,36.160091400146484,112.1689453125
2021-02-28,117.99800872802734,128.94192504882812,44.589908599853516,108.074462890625
2021-03-31,118.86405181884766,133.37518310546875,45.78728485107422,118.4855728149414
2021-04-30,127.92361450195312,135.5531768798828,46.94367599487305,117.4738998413086
2021-05-31,121.46382141113281,144.7451934814453,48.56777572631836,118.73297119140625
2021-06-30,133.50204467773438,137.07786560058594,52.486812591552734,118.80339813232422
2021-07-31,142.17733764648438,134.5349578857422,47.90211486816406,126.01856231689453
2021-08-31,148.21829223632812,141.77674865722656,46.050933837890625,126.16028594970703
2021-09-30,138.13401794433594,145.09182739257812,49.6829833984375,123.86550903320312
2021-10-31,146.23658752441406,151.49478149414062,54.45531463623047,127.47732543945312
2021-11-30,161.60342407226562,141.63235473632812,51.223812103271484,128.89483642578125
2021-12-31,173.5989990234375,141.20433044433594,52.379425048828125,145.83355712890625
2022-01-31,170.8714141845703,133.30429077148438,65.02275848388672,143.8154754638672
2022-02-28,161.6331024169922,127.2042465209961,67.8727035522461,139.7282257080078
2022-03-31,170.92269897460938,122.28829956054688,71.48185729980469,136.9585723876953
2022-04-30,154.3208770751953,107.8676986694336,73.7840805053711,144.71243286132812
2022-05-31,145.91094970703125,119.49854278564453,83.93934631347656,133.2923126220703
2022-06-30,134.0294647216797,101.7676010131836,74.88088989257812,129.6057586669922
2022-07-31,159.31198120117188,105.17501831054688,84.75251007080078,126.01995849609375
2022-08-31,154.3401336669922,103.68893432617188,84.39293670654297,125.13997650146484
2022-09-30,135.66851806640625,95.27383422851562,77.08283996582031,114.53474426269531
2022-10-31,150.53121948242188,115.79300689697266,97.83012390136719,123.04047393798828
2022-11-30,145.5595245361328,127.10737609863281,99.08936309814453,136.27919006347656
2022-12-31,127.76160430908203,123.35436248779297,98.16381072998047,138.471923828125
2023-01-31,141.88194274902344,129.69577026367188,103.24552917480469,130.90093994140625
2023-02-28,145.1711883544922,132.83714294433594,98.56940460205078,126.46954345703125
2023-03-31,162.3955535888672,120.75344848632812,98.34520721435547,136.70223999023438
2023-04-30,167.1029510498047,129.1072540283203,106.12958526611328,144.6724090576172
2023-05-31,174.79942321777344,126.74441528320312,92.4321517944336,131.83154296875
2023-06-30,191.2882843017578,135.83155822753906,97.01849365234375,140.37977600097656
2023-07-31,193.7340087890625,148.53761291503906,97.00945281982422,145.5094451904297
2023-08-31,185.52279663085938,137.60134887695312,101.40714263916016,143.68475341796875
2023-09-30,169.0709686279297,136.36947631835938,107.23493194580078,135.79019165039062
2023-10-31,168.63644409179688,131.7298583984375,96.53697204589844,140.55386352539062
2023-11-30,187.82394409179688,147.85272216796875,94.55741119384766,143.82342529296875
2023-12-31,190.37506103515625,161.13368225097656,92.01724243164062,137.28428649902344
2024-01-31,182.33607482910156,166.18763732910156,94.62184143066406,148.14451599121094
2024-02-29,178.95498657226562,177.3392333984375,97.08967590332031,149.8415069580078
2024-03-31,169.77703857421875,190.91183471679688,107.97649383544922,152.96200561523438
2024-04-30,168.63845825195312,183.8190460205078,109.86217498779297,154.85107421875
2024-05-31,190.5989532470703,194.25918579101562,109.80870056152344,156.1225128173828
2024-06-30,208.8111572265625,193.90447998046875,107.8047103881836,156.4830780029297
2024-07-31,220.17279052734375,205.13949584960938,111.05419158935547,153.45330810546875
2024-08-31,227.29612731933594,216.70751953125,111.33468627929688,163.7433624267578
2024-09-30,231.266357421875,203.2693328857422,110.6550064086914,165.32789611816406
2024-10-31,224.2291259765625,215.2421417236328,110.23965454101562,158.5994415283203
2024-11-30,235.82330322265625,242.20559692382812,112.26856994628906,172.1185302734375
2024-12-31,248.83021545410156,232.49684143066406,102.37986755371094,160.97108459472656
2025-01-31,234.5017547607422,260.5955505371094,101.67558288574219,160.34901428222656
2025-02-28,240.56887817382812,258.0120849609375,106.90621948242188,167.9322509765625
2025-03-31,220.9624786376953,239.1473846435547,114.20423889160156,164.6284637451172
2025-04-30,211.3831024169922,239.95338439941406,101.4327163696289,158.02418518066406
2025-05-31,200.0563507080078,258.9636535644531,99.13980865478516,165.13946533203125
2025-06-30,204.35926818847656,284.3793640136719,104.46990203857422,154.86505126953125
2025-07-31,206.74978637695312,291.98858642578125,108.19127655029297,147.2627410888672
2025-08-31,231.485107421875,297.09423828125,111.7900619506836,153.69268798828125
2025-09-30,253.9116668701172,310.9031677246094,110.28375244140625,150.3749542236328
2025-10-31,269.6072692871094,308.1459045410156,111.85853576660156,148.19398498535156
2025-11-30,278.3328857421875,310.0871887207031,114.37614440917969,146.01597595214844
2025-12-31,271.3558349609375,319.1398010253906,118.73727416992188,141.2361602783203
2026-01-31,258.9988098144531,304.33251953125,139.51678466796875,150.63571166992188
2026-02-28,263.93682861328125,298.7709655761719,151.47189331054688,165.95037841796875
2026-03-31,253.55638122558594,292.6622314453125,168.51620483398438,143.36048889160156
2026-04-30,271.1002502441406,313.2300109863281,153.28955078125,147.08999633789062
2026-05-31,297.8399963378906,300.7300109863281,160.49000549316406,142.38999938964844
