,AAPL,JPM,XOM,PG
2021-05-31,-0.05181687180704759,0.06561089761713002,0.03401176010513859,0.01066085223872427
2021-06-30,0.09450034138516088,-0.05442578382716714,0.07760168921988933,0.0005929781884106648
2021-07-31,0.0629583414327059,-0.01872505121733514,-0.09140229413366348,0.05895920574940322
2021-08-31,0.0416109995463245,0.052429552652570294,-0.039411613901152505,0.0011239931398476632
2021-09-30,-0.07046177621451709,0.023113206483298378,0.07591444684838879,-0.018356836791244495
2021-10-31,0.057001414246026144,0.043184344434734734,0.09171796229790646,0.028742136667651463
2021-11-30,0.09991956175687945,-0.06731652971344461,-0.06117594635232018,0.011058341289779124
2021-12-31,0.07160270178708204,-0.003026655601390005,0.022309358407961305,0.12346910134425275
2022-01-31,-0.015836726412480566,-0.05757357795814149,0.2162234766563884,-0.013934894261569662
2022-02-28,-0.0555823430040133,-0.04684038055216037,0.04289660506174626,-0.028831766456526527
2022-03-31,0.05588243471682788,-0.039412666818684605,0.051809729245485305,-0.02002080224054381
2022-04-30,-0.10217734945097412,-0.1254759042658787,0.031699323585245444,0.05507006281856825
2022-05-31,-0.05603754995522638,0.10239871317159488,0.12895147330210657,-0.08220399581673633
2022-06-30,-0.08493684034752001,-0.16061238474139222,-0.11419575398227458,-0.02804733867989167
2022-07-31,0.1728047638834292,0.03293401127913635,0.12383664682866288,-0.02805692191984597
2022-08-31,-0.03170559856115206,-0.014230402553780745,-0.004251653387808918,-0.00700737237782081
2022-09-30,-0.12894428372199598,-0.08464019019291479,-0.0906030225282173,-0.08855470248523804
2022-10-31,0.10395595773546652,0.19504896299876448,0.23835185770465483,0.07163513734464877
2022-11-30,-0.03358539480525319,0.093228036507744,0.012789555576081219,0.10219229194380897
2022-12-31,-0.13041904525532363,-0.029971001239049992,-0.009384479274581425,0.015961939439850515
2023-01-31,0.10482926167690505,0.05013027000625031,0.05047230866652895,-0.056226735538608796
2023-02-28,0.022918332676440382,0.023932409682459875,-0.04634901463070025,-0.0344393375027489
2023-03-31,0.1121213925831266,-0.09537303776417236,-0.002277103588229766,0.07780361377752774
2023-04-30,0.028575047853381795,0.06689263447631236,0.07617703826054965,0.05666680881970362
2023-05-31,0.04502906771926213,-0.018470904875626793,-0.13818596870910835,-0.09294702065896171
2023-06-30,0.09014246848252497,0.0692429950453443,0.04842673527480212,0.06282651770684798
2023-07-31,0.012704497515946715,0.08942263613062389,-9.319103449227673e-05,0.0358895642637158
2023-08-31,-0.04330836215946725,-0.07647748345849577,0.044335103398655804,-0.012619312530533666
2023-09-30,-0.09285920789985454,-0.008992788626484078,0.0558785243552862,-0.05651070128915983
2023-10-31,-0.002573380148388255,-0.034614641406233375,-0.10509598828128693,0.03447979951058316
2023-11-30,0.10775987713613554,0.11546335951299119,-0.020718889087296986,0.02299554832445995
2023-12-31,0.013491075346766331,0.08601768717966667,-0.027231198667637638,-0.04653247416839969
2024-01-31,-0.043144582553542976,0.030883150357294133,0.02791235411585634,0.07613439698809832
2024-02-29,-0.01871724671348926,0.06494697581062249,0.025746713931199088,0.01138985846174366
2024-03-31,-0.05264826412003033,0.07374725197205553,0.106278508492516,0.02061144604184469
2024-04-30,-0.006728915366007579,-0.03785989496752587,0.017313071768691082,0.012274282310663305
2024-05-31,0.12241437625476859,0.05524144846071202,-0.00048685950918233065,0.008177194053450066
2024-06-30,0.0912587902521362,-0.0018276100550164577,-0.018418412879339506,0.002306838751645403
2024-07-31,0.052982359992088376,0.05632454871029091,0.029696941548598636,-0.019551537325894257
2024-08-31,0.03184104339687241,0.054858392846228766,0.0025225617519127382,0.06490399986410156
2024-09-30,0.017316415725282513,-0.06401674547717334,-0.0061235455236653144,0.009630412238598167
2024-10-31,-0.030901695798451752,0.05723177231610436,-0.003760637358962923,-0.04154896319844315
2024-11-30,0.05041439655040528,0.11802330456875408,0.018237273198266978,0.08180158103395033
2024-12-31,0.053687988802221955,-0.0409102998476411,-0.09220385940450719,-0.06695861890533311
2025-01-31,-0.05930772739584337,0.11409295093684664,-0.006902902745804662,-0.0038719712327709285
2025-02-28,0.025543373428983236,-0.009963165869040206,0.050164812107381496,0.04620785124082172
2025-03-31,-0.08501353709197958,-0.07592639074234175,0.06603641795645263,-0.019869430016782322
2025-04-30,-0.04432076874446701,0.0033646387913301044,-0.11859272891203664,-0.04094310797888977
2025-05-31,-0.055073058036111795,0.07624304531638885,-0.022864623221149127,0.0440422692426895
2025-06-30,0.02128048306119257,0.09362141744575074,0.052367948609887485,-0.0642362605952331
2025-07-31,0.011629737195799317,0.026405578351791952,0.035001728632355344,-0.05033575501622587
2025-08-31,0.11300624000594503,0.017334675162375003,0.03272192567002879,0.04273673043436718
2025-09-30,0.09247089763931975,0.04543211681487101,-0.01356605338473783,-0.021823206262074853
2025-10-31,0.059979903600510795,-0.008908119050836258,0.01417838736542358,-0.01460974498512287
2025-11-30,0.03185148616378311,0.006280125024658717,0.022257529876008625,-0.014806084843214317
2025-12-31,-0.025386824342144388,0.02877574263838387,0.03742074297836785,-0.03328265515602646
2026-01-31,-0.046607537349419734,-0.04750833663603672,0.16127164193670276,0.06443103164175007
2026-02-28,0.018886322579219378,-0.018443639430606975,0.08221517081127919,0.09682440193910435
2026-03-31,-0.040123579509365785,-0.020658128106911384,0.10663183125454206,-0.14632645901856126
2026-04-30,0.06690247012584964,0.06791862970714595,-0.09470329463180678,0.025682259976204134
