Date,MKT
2020-05-31,11802.9501953125
2020-06-30,11893.7802734375
2020-07-31,12465.0498046875
2020-08-31,13045.599609375
2020-09-30,12701.8896484375
2020-10-31,12429.330078125
2020-11-30,14006.4599609375
2020-12-31,14524.7998046875
2021-01-31,14397.2001953125
2021-02-28,15010.4697265625
2021-03-31,15601.740234375
2021-04-30,16219.330078125
2021-05-31,16555.66015625
2021-06-30,16555.349609375
2021-07-31,16602.2890625
2021-08-31,16806.439453125
2021-09-30,16144.919921875
2021-10-31,17016.41015625
2021-11-30,16318.9697265625
2021-12-31,17164.130859375
2022-01-31,16659.76953125
2022-02-28,16313.8896484375
2022-03-31,16670.91015625
2022-04-30,15615.25
2022-05-31,15827.0498046875
2022-06-30,14487.6396484375
2022-07-31,15327.7099609375
2022-08-31,14801.240234375
2022-09-30,13472.1796875
2022-10-31,14747.0302734375
2022-11-30,15780.01953125
2022-12-31,15184.3095703125
2023-01-31,16036.3896484375
2023-02-28,15428.9697265625
2023-03-31,15374.91015625
2023-04-30,15545.8798828125
2023-05-31,14887.1396484375
2023-06-30,15875.91015625
2023-07-31,16427.2890625
2023-08-31,16000.3701171875
2023-09-30,15398.2099609375
2023-10-31,14919.2001953125
2023-11-30,16088.83984375
2023-12-31,16852.890625
2024-01-31,16911.130859375
2024-02-29,17607.4296875
2024-03-31,18312.669921875
2024-04-30,17603.33984375
2024-05-31,18083.689453125
2024-06-30,18026.5
2024-07-31,18710.009765625
2024-08-31,19292.23046875
2024-09-30,19516.439453125
2024-10-31,19238.94921875
2024-11-30,20272.0390625
2024-12-31,19097.099609375
2025-01-31,19998.8203125
2025-02-28,20028.189453125
2025-03-31,19395.859375
2025-04-30,19114.240234375
2025-05-31,19783.810546875
2025-06-30,20429.55078125
2025-07-31,20458.439453125
2025-08-31,21151.470703125
2025-09-30,21564.5390625
2025-10-31,21459.580078125
2025-11-30,21824.669921875
2025-12-31,22003.9296875
2026-01-31,22719.330078125
2026-02-28,23494.439453125
2026-03-31,22089.4296875
2026-04-30,23144.640625
2026-05-31,22900.5703125
