,ARB_EXCESS
2021-05-31,0.022012758833152166
2021-06-30,-0.01764227116946525
2021-07-31,-0.03806871068398635
2021-08-31,0.022306497512371223
2021-09-30,0.018875330334678423
2021-10-31,0.009296548244016227
2021-11-30,-0.03265067944198804
2021-12-31,-0.05960846560040954
2022-01-31,-0.011483809616065307
2022-02-28,-0.006466894914991148
2022-03-31,-0.003166660991249553
2022-04-30,-0.0843648474597857
2022-05-31,0.08714341764934082
2022-06-30,-0.06192950896809004
2022-07-31,0.03870451801775368
2022-08-31,-0.0039550388570673695
2022-09-30,8.692021685723778e-05
2022-10-31,0.05963766362760465
2022-11-30,-0.01186160126057504
2022-12-31,-0.026116629668191824
2023-01-31,0.05526324787311805
2023-02-28,0.026900564148180622
2023-03-31,-0.07574533000364277
2023-04-30,0.003956990795199542
2023-05-31,0.03581830919481775
2023-06-30,0.0033351176436901345
2023-07-31,0.020996133720620296
2023-08-31,-0.026809221022430156
2023-09-30,0.02265322140251769
2023-10-31,-0.0355856898043669
2023-11-30,0.04158816284169284
2023-12-31,0.059904858159009554
2024-01-31,-0.025527221693586448
2024-02-29,0.022353372541531403
2024-03-31,0.022815860902185663
2024-04-30,-0.022122962946101724
2024-05-31,0.0242972569032009
2024-06-30,0.0009315731064117311
2024-07-31,0.036960058645209494
2024-08-31,-0.007568614208555698
2024-09-30,-0.03188916652294837
2024-10-31,0.04409905425158793
2024-11-30,0.012357485667518077
2024-12-31,0.014970847383540944
2025-01-31,0.048540119644458375
2025-02-28,-0.02481708239858741
2025-03-31,-0.02383452132896574
2025-04-30,0.01644705293268442
2025-05-31,0.007953359322955243
2025-06-30,0.07486731422952642
2025-07-31,0.03808528291456874
2025-08-31,-0.008581895778552638
2025-09-30,0.03352490670321687
2025-10-31,0.006200638184137555
2025-11-30,0.012023385201559593
2025-12-31,0.029252102559989158
2026-01-31,-0.04926093867410125
2026-02-28,-0.05300071206152575
2026-03-31,0.06616556661765058
2026-04-30,0.015880716046101563
